,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
0,891f8d7ad83ffff,23,0,0,1,0,2,2,2,11,5,0,Low-area,8.7,8.7,47.83,0.0,Business_percent
23,891f8d44b07ffff,98,1,2,0,0,0,0,10,71,15,0,High-area,10.2,0.0,72.45,2.04,Business_percent
121,891f8d4584bffff,57,0,3,1,1,1,0,7,32,12,0,High-area,12.28,1.75,56.14,5.26,Business_percent
178,891f8d7b44bffff,37,0,1,0,0,3,2,3,22,6,0,High-area,8.11,8.11,59.46,2.7,Business_percent
215,891f8d450b3ffff,47,0,1,0,0,2,0,8,32,4,0,High-area,17.02,4.26,68.09,2.13,Business_percent
262,891f8d7b403ffff,51,0,1,0,0,1,2,10,25,12,0,High-area,19.61,1.96,49.02,1.96,Business_percent
313,891f8d7364fffff,3,0,0,0,0,0,0,1,2,0,0,Low-area,33.33,0.0,66.67,0.0,Business_percent
316,891f8d45ecfffff,28,0,0,0,0,3,1,6,15,3,0,Low-area,21.43,10.71,53.57,0.0,Business_percent
344,891f8d45137ffff,15,0,2,1,0,0,0,0,8,4,0,Low-area,0.0,0.0,53.33,13.33,Business_percent
359,891f8d44a37ffff,100,0,14,0,4,1,0,12,62,7,0,High-area,12.0,1.0,62.0,14.0,Business_and_Services
459,891f8d442a7ffff,3,0,0,0,0,2,0,0,1,0,0,Low-area,0.0,66.67,33.33,0.0,Transport_percent
462,891f8d7a2abffff,8,0,0,0,0,0,0,0,8,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
470,891f8d44543ffff,13,0,1,0,0,0,0,7,5,0,0,Low-area,53.85,0.0,38.46,7.69,Shopping_percent
483,891f8d45c2bffff,40,0,1,0,1,0,1,3,30,4,0,High-area,7.5,0.0,75.0,2.5,Business_percent
523,891f8d7a6c3ffff,18,0,0,1,0,1,0,3,10,3,0,Low-area,16.67,5.56,55.56,0.0,Business_percent
541,891f8d732d3ffff,7,0,2,0,0,0,0,0,2,3,0,Low-area,0.0,0.0,28.57,28.57,Business_percent
548,891f8d44263ffff,2,0,0,0,0,0,0,0,1,0,1,Low-area,0.0,0.0,50.0,0.0,Business_percent
550,891f8d73213ffff,6,0,0,0,0,1,0,1,4,0,0,Low-area,16.67,16.67,66.67,0.0,Business_percent
556,891f8d7adcfffff,15,0,0,0,0,0,0,0,13,0,2,Low-area,0.0,0.0,86.67,0.0,Business_percent
571,891f8d44173ffff,32,0,0,0,0,4,0,2,25,1,0,High-area,6.25,12.5,78.12,0.0,Business_percent
603,891f8d45ec7ffff,36,0,1,1,1,4,1,6,17,5,0,High-area,16.67,11.11,47.22,2.78,Business_percent
639,891f8d468dbffff,2,0,0,1,0,0,0,0,1,0,0,Low-area,0.0,0.0,50.0,0.0,Business_percent
641,891f8d45b07ffff,88,2,8,2,1,4,1,11,48,12,1,High-area,12.5,4.55,54.55,9.09,Business_percent
729,891f8d44903ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
730,891f8d7167bffff,36,0,2,0,1,0,1,4,21,7,0,High-area,11.11,0.0,58.33,5.56,Business_percent
766,891f8d44c9bffff,14,0,0,0,0,0,0,1,11,2,0,Low-area,7.14,0.0,78.57,0.0,Business_percent
780,891f8d4420bffff,45,0,1,0,0,1,0,1,37,5,0,High-area,2.22,2.22,82.22,2.22,Business_percent
825,891f8d473c7ffff,3,0,1,0,0,0,1,0,1,0,0,Low-area,0.0,0.0,33.33,33.33,Business_percent
828,891f8d45b17ffff,60,0,4,0,0,3,2,12,33,6,0,High-area,20.0,5.0,55.0,6.67,Business_percent
888,891f8d46abbffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
890,891f8d7a037ffff,80,0,10,0,2,2,0,9,47,10,0,High-area,11.25,2.5,58.75,12.5,Business_percent
970,891f8d7b427ffff,5,0,0,0,0,1,0,0,2,2,0,Low-area,0.0,20.0,40.0,0.0,Business_percent
975,891f8d44d5bffff,24,0,0,0,1,0,0,2,15,6,0,Low-area,8.33,0.0,62.5,0.0,Business_percent
999,891f8d47303ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1000,891f8d7a9d3ffff,30,0,1,0,0,0,0,2,22,5,0,High-area,6.67,0.0,73.33,3.33,Business_percent
1030,891f8d45c2fffff,65,0,3,0,0,3,0,7,46,6,0,High-area,10.77,4.62,70.77,4.62,Business_percent
1095,891f8d7366bffff,60,3,3,4,0,2,2,5,36,7,1,High-area,8.33,3.33,60.0,5.0,Business_percent
1155,891f8d4422fffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
1156,891f8d4e957ffff,36,0,0,0,0,0,0,4,27,5,0,High-area,11.11,0.0,75.0,0.0,Business_percent
1192,891f8d4701bffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1193,891f8d7b0afffff,25,0,0,1,0,0,0,0,21,3,0,Low-area,0.0,0.0,84.0,0.0,Business_percent
1218,891f8d7a3abffff,21,0,2,0,0,0,0,4,13,2,0,Low-area,19.05,0.0,61.9,9.52,Business_percent
1239,891f8d468c3ffff,1,0,0,1,0,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Going_Out-Entertainment
1240,891f8d73083ffff,4,0,0,0,0,1,0,1,1,1,0,Low-area,25.0,25.0,25.0,0.0,Shopping_percent
1244,891f8d730cbffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,0.0,0.0,0.0,0.0,Facilities
1245,891f8d4e913ffff,38,0,2,0,0,4,0,5,15,12,0,High-area,13.16,10.53,39.47,5.26,Business_percent
1283,891f8d7a163ffff,37,0,1,0,1,1,0,7,18,9,0,High-area,18.92,2.7,48.65,2.7,Business_percent
1320,891f8d450afffff,24,0,0,0,1,0,0,3,16,4,0,Low-area,12.5,0.0,66.67,0.0,Business_percent
1344,891f8d7a463ffff,32,0,3,3,1,0,1,1,22,1,0,High-area,3.12,0.0,68.75,9.38,Business_percent
1376,891f8d45d8fffff,65,0,2,2,1,1,0,7,36,16,0,High-area,10.77,1.54,55.38,3.08,Business_percent
1441,891f8d4411bffff,75,0,2,0,0,2,0,20,47,4,0,High-area,26.67,2.67,62.67,2.67,Business_percent
1516,891f8d73217ffff,17,0,0,0,0,1,0,3,12,1,0,Low-area,17.65,5.88,70.59,0.0,Business_percent
1533,891f8d46c53ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1534,891f8d7a6b3ffff,99,0,3,1,1,1,0,7,74,12,0,High-area,7.07,1.01,74.75,3.03,Business_percent
1633,891f8d471bbffff,6,0,0,0,0,0,0,0,6,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1639,891f8d45dcbffff,15,0,1,1,0,0,1,1,11,0,0,Low-area,6.67,0.0,73.33,6.67,Business_percent
1654,891f8d45133ffff,5,0,0,0,0,0,0,1,1,3,0,Low-area,20.0,0.0,20.0,0.0,Shopping_percent
1659,891f8d7a357ffff,17,0,0,0,1,1,0,1,12,2,0,Low-area,5.88,5.88,70.59,0.0,Business_percent
1676,891f8d7ae7bffff,39,0,0,0,0,1,0,5,32,1,0,High-area,12.82,2.56,82.05,0.0,Business_percent
1715,891f8d71347ffff,15,0,0,0,0,0,0,2,10,3,0,Low-area,13.33,0.0,66.67,0.0,Business_percent
1730,891f8d7b4d7ffff,70,0,1,1,1,0,1,16,39,11,0,High-area,22.86,0.0,55.71,1.43,Business_percent
1800,891f8d45a13ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,0.0,0.0,0.0,0.0,Facilities
1801,891f8d7a99bffff,100,0,1,0,0,1,1,28,60,9,0,High-area,28.0,1.0,60.0,1.0,Business_and_Services
1901,891f8d44d3bffff,10,0,4,2,1,0,1,1,1,0,0,Low-area,10.0,0.0,10.0,40.0,Eat_percent
1911,891f8d44143ffff,19,0,0,0,0,0,0,9,8,2,0,Low-area,47.37,0.0,42.11,0.0,Shopping_percent
1930,891f8d7a633ffff,97,1,9,1,2,1,1,15,49,19,0,High-area,15.46,1.03,50.52,9.28,Business_percent
2027,891f8d46bcbffff,63,0,1,2,0,1,1,4,50,4,0,High-area,6.35,1.59,79.37,1.59,Business_percent
2090,891f8d46e7bffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
2091,891f8d44d33ffff,50,0,4,2,0,1,0,3,40,0,0,High-area,6.0,2.0,80.0,8.0,Business_percent
2141,891f8d45bcfffff,22,0,0,0,1,1,0,2,15,3,0,Low-area,9.09,4.55,68.18,0.0,Business_percent
2163,891f8d7b42bffff,44,0,0,0,0,0,0,3,35,6,0,High-area,6.82,0.0,79.55,0.0,Business_percent
2207,891f8d45b23ffff,42,0,4,2,0,0,2,4,25,5,0,High-area,9.52,0.0,59.52,9.52,Business_percent
2249,891f8d463cbffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
2250,891f8d7aa17ffff,32,0,0,1,0,0,0,6,23,2,0,High-area,18.75,0.0,71.88,0.0,Business_percent
2282,891f8d46a37ffff,20,0,0,0,0,1,0,2,15,2,0,Low-area,10.0,5.0,75.0,0.0,Business_percent
2302,891f8d44b23ffff,93,0,2,0,2,1,0,10,56,22,0,High-area,10.75,1.08,60.22,2.15,Business_percent
2395,891f8d44427ffff,6,0,0,0,0,0,0,1,4,1,0,Low-area,16.67,0.0,66.67,0.0,Business_percent
2401,891f8d7ac0bffff,12,0,0,0,0,1,1,3,6,1,0,Low-area,25.0,8.33,50.0,0.0,Business_percent
2413,891f8d7aa23ffff,25,0,0,0,0,1,0,3,18,3,0,Low-area,12.0,4.0,72.0,0.0,Business_percent
2438,891f8d4636bffff,7,0,0,0,0,0,0,3,3,1,0,Low-area,42.86,0.0,42.86,0.0,Shopping_percent
2445,891f8d448bbffff,46,0,0,1,0,1,0,2,30,12,0,High-area,4.35,2.17,65.22,0.0,Business_percent
2491,891f8d46e2bffff,23,0,1,0,0,0,0,2,19,1,0,Low-area,8.7,0.0,82.61,4.35,Business_percent
2514,891f8d40da7ffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
2515,891f8d46b67ffff,37,0,0,2,0,5,0,9,17,4,0,High-area,24.32,13.51,45.95,0.0,Business_percent
2552,891f8d443d7ffff,23,0,2,0,0,1,0,1,7,12,0,Low-area,4.35,4.35,30.43,8.7,Business_percent
2575,891f8d44617ffff,46,0,1,1,0,1,1,7,26,9,0,High-area,15.22,2.17,56.52,2.17,Business_percent
2621,891f8d7165bffff,87,0,0,0,0,1,1,4,59,22,0,High-area,4.6,1.15,67.82,0.0,Business_percent
2708,891f8d73473ffff,18,0,1,0,1,0,0,7,2,7,0,Low-area,38.89,0.0,11.11,5.56,Shopping_percent
2726,891f8d44817ffff,94,0,4,0,0,1,0,11,63,15,0,High-area,11.7,1.06,67.02,4.26,Business_percent
2820,891f8d45a67ffff,43,0,6,1,0,1,1,7,22,5,0,High-area,16.28,2.33,51.16,13.95,Business_percent
2863,891f8d44bd3ffff,99,1,4,1,0,0,0,5,77,12,0,High-area,5.05,0.0,77.78,4.04,Business_percent
2962,891f8d7a893ffff,44,1,0,0,0,2,0,5,31,6,0,High-area,11.36,4.55,70.45,0.0,Business_percent
3006,891f8d7126bffff,30,1,0,0,0,3,0,4,20,3,0,High-area,13.33,10.0,66.67,0.0,Business_percent
3036,891f8d4599bffff,100,0,10,5,0,2,0,21,55,7,0,High-area,21.0,2.0,55.0,10.0,Business_and_Services
3136,891f8d45a87ffff,96,0,10,1,1,3,1,16,51,12,1,High-area,16.67,3.12,53.12,10.42,Business_percent
3232,891f8d4e91bffff,24,0,0,0,1,1,0,1,11,10,0,Low-area,4.17,4.17,45.83,0.0,Business_percent
3256,891f8d45abbffff,81,1,5,2,0,0,1,23,46,4,0,High-area,28.4,0.0,56.79,6.17,Business_percent
3337,891f8d46e07ffff,47,0,2,2,0,1,0,16,23,3,0,High-area,34.04,2.13,48.94,4.26,Business_percent
3384,891f8d442abffff,6,0,0,0,0,0,1,1,4,0,0,Low-area,16.67,0.0,66.67,0.0,Business_percent
3390,891f8d7a6c7ffff,2,0,0,0,1,0,0,0,0,1,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
3392,891f8d45193ffff,97,1,3,0,0,1,0,6,55,32,0,High-area,6.19,1.03,56.7,3.09,Business_percent
3489,891f8d44597ffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,0.0,33.33,66.67,0.0,Business_percent
3492,891f8d7a47bffff,97,1,8,2,1,1,5,22,53,4,1,High-area,22.68,1.03,54.64,8.25,Business_percent
3589,891f8d449d7ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,0.0,0.0,0.0,0.0,Facilities
3590,891f8d4407bffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
3592,891f8d4637bffff,9,0,0,0,0,0,0,1,8,0,0,Low-area,11.11,0.0,88.89,0.0,Business_percent
3601,891f8d71237ffff,99,0,2,1,0,2,2,10,76,6,0,High-area,10.1,2.02,76.77,2.02,Business_percent
3700,891f8d7ac57ffff,29,0,0,1,0,2,0,7,18,1,0,Low-area,24.14,6.9,62.07,0.0,Business_percent
3729,891f8d7accfffff,29,0,1,1,1,1,0,4,16,5,0,Low-area,13.79,3.45,55.17,3.45,Business_percent
3758,891f8d7b48fffff,70,0,3,0,0,0,0,14,49,4,0,High-area,20.0,0.0,70.0,4.29,Business_percent
3828,891f8d46857ffff,9,0,1,0,0,1,0,3,1,3,0,Low-area,33.33,11.11,11.11,11.11,Shopping_percent
3837,891f8d45a27ffff,3,0,0,0,0,0,1,1,0,1,0,Low-area,33.33,0.0,0.0,0.0,Shopping_percent
3840,891f8d46247ffff,4,0,0,0,0,0,0,0,4,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
3844,891f8d455afffff,8,0,0,0,0,0,0,0,6,2,0,Low-area,0.0,0.0,75.0,0.0,Business_percent
3852,891f8d4437bffff,98,1,3,0,0,1,0,12,66,16,0,High-area,12.24,1.02,67.35,3.06,Business_percent
3950,891f8d45553ffff,26,0,1,0,1,1,0,0,17,6,0,Low-area,0.0,3.85,65.38,3.85,Business_percent
3976,891f8d45583ffff,18,0,0,0,1,2,0,4,9,2,0,Low-area,22.22,11.11,50.0,0.0,Business_percent
3994,891f8d45143ffff,22,0,0,1,0,2,0,3,15,1,0,Low-area,13.64,9.09,68.18,0.0,Business_percent
4016,891f8d473c3ffff,5,0,0,0,0,0,0,2,3,0,0,Low-area,40.0,0.0,60.0,0.0,Business_percent
4021,891f8d7a223ffff,15,0,0,2,0,1,0,1,11,0,0,Low-area,6.67,6.67,73.33,0.0,Business_percent
4036,891f8d45b9bffff,95,1,2,0,1,1,1,19,45,26,0,High-area,20.0,1.05,47.37,2.11,Business_percent
4131,891f8d7ad73ffff,61,0,5,0,0,0,1,3,46,6,0,High-area,4.92,0.0,75.41,8.2,Business_percent
4192,891f8d44213ffff,12,0,0,0,0,2,0,0,6,4,0,Low-area,0.0,16.67,50.0,0.0,Business_percent
4204,891f8d7124bffff,67,0,1,0,1,6,0,10,38,11,0,High-area,14.93,8.96,56.72,1.49,Business_percent
4271,891f8d44c8bffff,17,0,0,0,0,0,0,0,17,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
4288,891f8d454b7ffff,11,0,0,0,0,1,0,3,6,1,0,Low-area,27.27,9.09,54.55,0.0,Business_percent
4299,891f8d4713bffff,23,0,0,0,0,1,0,3,18,1,0,Low-area,13.04,4.35,78.26,0.0,Business_percent
4322,891f8d7a217ffff,41,0,6,2,0,1,0,3,24,5,0,High-area,7.32,2.44,58.54,14.63,Business_percent
4363,891f8d46a7bffff,6,0,0,0,0,2,0,0,4,0,0,Low-area,0.0,33.33,66.67,0.0,Business_percent
4369,891f8d45897ffff,11,0,0,0,0,1,0,1,9,0,0,Low-area,9.09,9.09,81.82,0.0,Business_percent
4380,891f8d46e6fffff,7,0,1,0,0,0,0,0,3,3,0,Low-area,0.0,0.0,42.86,14.29,Business_percent
4387,891f8d7a343ffff,35,0,3,0,1,1,1,4,19,6,0,High-area,11.43,2.86,54.29,8.57,Business_percent
4422,891f8d7ac1bffff,23,0,1,1,0,2,0,7,12,0,0,Low-area,30.43,8.7,52.17,4.35,Business_percent
4445,891f8d45d97ffff,97,0,5,1,1,0,1,11,48,29,1,High-area,11.34,0.0,49.48,5.15,Business_percent
4542,891f8d4511bffff,29,0,0,0,0,0,0,0,20,9,0,Low-area,0.0,0.0,68.97,0.0,Business_percent
4571,891f8d44973ffff,6,0,0,0,0,0,0,1,5,0,0,Low-area,16.67,0.0,83.33,0.0,Business_percent
4577,891f8d736c7ffff,14,0,1,0,0,0,0,3,9,1,0,Low-area,21.43,0.0,64.29,7.14,Business_percent
4591,891f8d47177ffff,7,0,0,0,0,0,0,0,7,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
4598,891f8d7b083ffff,32,0,0,0,2,0,0,2,24,4,0,High-area,6.25,0.0,75.0,0.0,Business_percent
4630,891f8d45d77ffff,99,0,5,2,0,1,1,6,71,13,0,High-area,6.06,1.01,71.72,5.05,Business_percent
4729,891f8d46ac3ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
4730,891f8d44397ffff,29,0,0,0,0,0,0,5,15,9,0,Low-area,17.24,0.0,51.72,0.0,Business_percent
4759,891f8d78583ffff,28,0,0,0,0,1,0,4,19,4,0,Low-area,14.29,3.57,67.86,0.0,Business_percent
4787,891f8d7a227ffff,5,0,0,0,0,1,0,0,2,2,0,Low-area,0.0,20.0,40.0,0.0,Business_percent
