,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
0,8928347420bffff,6,0,0,0,2,1,0,0,1,2,0,Low-area,0.0,16.67,16.67,0.0,Transport_percent
6,8928347639bffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
7,8928347437bffff,3,0,0,0,0,0,1,0,1,1,0,Low-area,0.0,0.0,33.33,0.0,Business_percent
10,89283474623ffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,100.0,0.0,0.0,0.0,Shopping_percent
11,8928347405bffff,5,0,0,0,0,0,0,0,3,2,0,Low-area,0.0,0.0,60.0,0.0,Business_percent
16,89283474477ffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,0.0,33.33,66.67,0.0,Business_percent
19,89283474673ffff,23,1,0,0,0,1,2,1,17,2,0,Low-area,4.35,4.35,73.91,0.0,Business_percent
42,89283474593ffff,4,0,0,0,0,0,0,0,2,2,0,Low-area,0.0,0.0,50.0,0.0,Business_percent
46,8928347436fffff,20,0,0,0,0,1,0,2,12,5,0,Low-area,10.0,5.0,60.0,0.0,Business_percent
66,8928347466fffff,47,0,5,0,0,1,0,5,21,15,0,High-area,10.64,2.13,44.68,10.64,Business_percent
113,89283474ec7ffff,26,0,2,0,0,0,0,6,2,16,0,Low-area,23.08,0.0,7.69,7.69,Shopping_percent
139,8928347428fffff,10,0,1,0,0,0,0,3,5,1,0,Low-area,30.0,0.0,50.0,10.0,Business_percent
149,89283475c57ffff,9,0,1,0,0,0,0,0,3,5,0,Low-area,0.0,0.0,33.33,11.11,Business_percent
158,89283476333ffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
159,89283475c3bffff,4,0,0,0,0,0,0,0,4,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
163,892834743dbffff,97,1,4,0,1,1,1,11,47,32,0,High-area,11.34,1.03,48.45,4.12,Business_percent
260,89283474057ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
261,89283475cc3ffff,6,0,0,0,0,0,0,0,5,1,0,Low-area,0.0,0.0,83.33,0.0,Business_percent
267,8928347400bffff,4,1,0,0,0,1,0,0,3,0,0,Low-area,0.0,25.0,75.0,0.0,Business_percent
271,89283474663ffff,48,1,2,0,0,4,3,1,26,12,0,High-area,2.08,8.33,54.17,4.17,Business_percent
319,8928347518fffff,8,0,0,0,0,0,0,0,7,1,0,Low-area,0.0,0.0,87.5,0.0,Business_percent
327,89283474273ffff,21,0,2,0,0,3,0,2,8,6,0,Low-area,9.52,14.29,38.1,9.52,Business_percent
348,8928347420fffff,9,0,0,1,3,0,0,1,3,1,0,Low-area,11.11,0.0,33.33,0.0,Business_percent
357,89283475537ffff,11,1,1,0,1,2,0,0,5,2,0,Low-area,0.0,18.18,45.45,9.09,Business_percent
368,8928347556fffff,38,0,0,0,1,2,0,7,22,6,0,High-area,18.42,5.26,57.89,0.0,Business_percent
406,89283475577ffff,70,0,0,0,2,6,1,10,38,13,0,High-area,14.29,8.57,54.29,0.0,Business_percent
476,89283474367ffff,7,0,0,0,1,0,1,0,4,1,0,Low-area,0.0,0.0,57.14,0.0,Business_percent
483,89283475c8bffff,6,0,0,0,0,0,0,0,5,1,0,Low-area,0.0,0.0,83.33,0.0,Business_percent
489,8928340dbb3ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
490,89283476487ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
491,8928347463bffff,6,0,0,0,0,0,0,0,2,4,0,Low-area,0.0,0.0,33.33,0.0,Business_percent
497,89283475c43ffff,77,1,1,0,1,0,1,1,65,8,0,High-area,1.3,0.0,84.42,1.3,Business_percent
574,892834742a7ffff,59,0,1,0,3,2,0,3,44,6,0,High-area,5.08,3.39,74.58,1.69,Business_percent
633,892834746afffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
634,892834742cbffff,7,0,0,0,1,0,1,0,1,4,0,Low-area,0.0,0.0,14.29,0.0,Business_percent
641,8928347462fffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
643,8928347460fffff,7,0,0,0,0,2,0,0,2,3,0,Low-area,0.0,28.57,28.57,0.0,Transport_percent
650,892834743c3ffff,96,2,6,1,2,1,0,10,47,29,0,High-area,10.42,1.04,48.96,6.25,Business_percent
746,89283475c33ffff,2,0,0,0,0,0,0,0,1,1,0,Low-area,0.0,0.0,50.0,0.0,Business_percent
748,89283475c5bffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
750,89283475e03ffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Sights_and_Museums
751,892834740dbffff,2,0,0,0,0,0,0,0,0,2,0,Low-area,0.0,0.0,0.0,0.0,Facilities
753,89283474677ffff,6,0,0,0,0,0,1,0,5,0,0,Low-area,0.0,0.0,83.33,0.0,Business_percent
759,89283474443ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
760,8928347511bffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
761,892834751bbffff,8,0,0,0,0,0,0,1,2,5,0,Low-area,12.5,0.0,25.0,0.0,Business_percent
769,8928347430fffff,2,0,0,0,0,0,0,0,1,1,0,Low-area,0.0,0.0,50.0,0.0,Business_percent
771,89283474253ffff,6,0,0,0,0,1,0,0,1,4,0,Low-area,0.0,16.67,16.67,0.0,Transport_percent
777,89283474013ffff,9,0,0,0,0,2,0,1,3,3,0,Low-area,11.11,22.22,33.33,0.0,Business_percent
786,892834740d7ffff,11,0,1,0,0,0,0,3,6,1,0,Low-area,27.27,0.0,54.55,9.09,Business_percent
797,8928347444bffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,100.0,0.0,0.0,0.0,Shopping_percent
798,892834743cbffff,29,0,1,0,0,1,0,1,16,10,0,Low-area,3.45,3.45,55.17,3.45,Business_percent
827,892834751a7ffff,3,0,0,0,0,1,1,0,1,0,0,Low-area,0.0,33.33,33.33,0.0,Transport_percent
830,89283475dd3ffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
832,89283476003ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,0.0,0.0,0.0,0.0,Accommodations
833,89283474357ffff,4,0,0,0,0,0,0,0,4,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
837,89283475e87ffff,28,0,0,0,0,0,2,1,20,5,0,Low-area,3.57,0.0,71.43,0.0,Business_percent
865,8928347434fffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
866,892834742a3ffff,37,2,2,0,0,1,0,13,19,2,0,High-area,35.14,2.7,51.35,5.41,Business_percent
903,8928347552bffff,3,0,0,0,0,0,0,1,1,1,0,Low-area,33.33,0.0,33.33,0.0,Shopping_percent
906,89283474e5bffff,99,1,16,1,1,2,2,17,54,6,0,High-area,17.17,2.02,54.55,16.16,Business_percent
1005,89283475c07ffff,28,0,0,0,0,0,0,3,19,6,0,Low-area,10.71,0.0,67.86,0.0,Business_percent
1033,89283475ca7ffff,5,0,0,0,0,0,0,0,3,2,0,Low-area,0.0,0.0,60.0,0.0,Business_percent
1038,8928347447bffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1039,89283475d9bffff,33,0,0,0,1,1,0,0,5,26,0,High-area,0.0,3.03,15.15,0.0,Facilities
1072,8928347427bffff,2,0,0,0,0,0,0,0,2,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1074,8928347431bffff,6,0,0,0,0,0,1,0,3,2,0,Low-area,0.0,0.0,50.0,0.0,Business_percent
1080,89283475ddbffff,4,0,0,0,1,0,1,1,0,1,0,Low-area,25.0,0.0,0.0,0.0,Shopping_percent
1084,8928347422bffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,100.0,0.0,0.0,0.0,Shopping_percent
1085,89283474203ffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,0.0,33.33,66.67,0.0,Business_percent
1088,89283474073ffff,46,1,0,0,0,0,0,0,41,5,0,High-area,0.0,0.0,89.13,0.0,Business_percent
1134,89283475db3ffff,13,0,1,1,0,0,2,0,8,1,0,Low-area,0.0,0.0,61.54,7.69,Business_percent
1147,8928347444fffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,0.0,33.33,66.67,0.0,Business_percent
1150,8928347407bffff,2,0,0,1,0,0,0,0,0,0,1,Low-area,0.0,0.0,0.0,0.0,Going_Out-Entertainment
1152,89283475507ffff,6,0,0,0,1,1,0,1,2,1,0,Low-area,16.67,16.67,33.33,0.0,Business_percent
1158,89283475dcbffff,3,0,0,0,0,0,0,0,3,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1161,89283474217ffff,5,0,0,0,1,0,0,1,3,0,0,Low-area,20.0,0.0,60.0,0.0,Business_percent
1166,8928347408fffff,13,5,0,0,0,0,0,0,12,1,0,Low-area,0.0,0.0,92.31,0.0,Business_percent
1179,89283474223ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1180,89283474e1bffff,15,0,2,0,1,0,0,10,2,0,0,Low-area,66.67,0.0,13.33,13.33,Shopping_percent
1195,89283475ccfffff,11,0,0,0,0,0,0,0,7,4,0,Low-area,0.0,0.0,63.64,0.0,Business_percent
1206,89283475cdbffff,18,0,0,0,0,0,0,1,15,2,0,Low-area,5.56,0.0,83.33,0.0,Business_percent
1224,892834743cfffff,5,0,0,0,0,0,1,1,2,1,0,Low-area,20.0,0.0,40.0,0.0,Business_percent
1229,89283474247ffff,10,0,2,0,0,1,0,2,5,0,0,Low-area,20.0,10.0,50.0,20.0,Business_percent
1239,89283475523ffff,16,0,0,0,2,4,0,0,5,5,0,Low-area,0.0,25.0,31.25,0.0,Business_percent
1255,89283475d8bffff,30,0,0,0,0,0,0,0,9,21,0,High-area,0.0,0.0,30.0,0.0,Business_percent
1285,892834745cfffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,100.0,0.0,0.0,0.0,Shopping_percent
1286,892834740c7ffff,4,0,0,0,0,0,0,0,4,0,0,Low-area,0.0,0.0,100.0,0.0,Business_percent
1290,8928347518bffff,46,2,0,0,0,2,1,2,33,8,0,High-area,4.35,4.35,71.74,0.0,Business_percent
1336,89283474e4bffff,43,0,0,1,0,1,0,2,36,3,0,High-area,4.65,2.33,83.72,0.0,Business_percent
1379,89283475eb3ffff,19,0,1,0,0,0,0,1,9,8,0,Low-area,5.26,0.0,47.37,5.26,Business_percent
1398,892834742c3ffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,0.0,33.33,66.67,0.0,Business_percent
1401,89283474363ffff,8,0,0,0,3,0,0,0,3,2,0,Low-area,0.0,0.0,37.5,0.0,Business_percent
