,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
0,891969c9933ffff,89,3,7,1,0,0,0,5,64,12,0,High-area,True
89,8919695268bffff,92,2,3,3,2,1,1,3,70,9,0,High-area,True
181,89196952513ffff,4,0,0,0,1,0,0,0,3,0,0,Low-area,False
185,891969c8aa7ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
186,891969c9d63ffff,31,1,0,0,2,0,1,4,15,9,0,High-area,True
217,89196826b9bffff,7,2,0,0,0,0,0,4,3,0,0,Low-area,True
224,89196824d53ffff,20,0,2,0,0,0,0,1,16,1,0,Low-area,False
244,891969536d3ffff,41,1,1,2,2,2,1,4,28,1,0,High-area,True
285,89196824d13ffff,14,0,0,0,3,0,0,4,4,3,0,Low-area,False
299,891968268a3ffff,3,0,0,0,0,0,0,0,3,0,0,Low-area,False
302,89196953577ffff,85,2,0,1,2,0,2,5,68,7,0,High-area,True
387,891969cd0cbffff,38,4,0,2,0,1,0,5,27,3,0,High-area,True
425,89196824833ffff,8,0,0,0,0,0,0,2,5,0,1,Low-area,False
433,8919682695bffff,32,1,0,3,0,0,0,7,19,3,0,High-area,True
465,8919695308bffff,86,1,4,3,1,0,2,13,58,5,0,High-area,True
551,89196952263ffff,33,3,1,1,1,1,3,8,9,9,0,High-area,True
584,89196824127ffff,10,0,0,0,1,0,0,3,6,0,0,Low-area,False
594,891969c8857ffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,False
595,8919695221bffff,82,1,1,0,2,0,0,18,52,9,0,High-area,True
677,891969514d3ffff,23,0,1,0,2,0,0,0,20,0,0,Low-area,False
700,89196826d03ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
701,891968240b7ffff,3,0,0,0,0,1,0,1,1,0,0,Low-area,False
704,89196826bb3ffff,19,1,0,0,0,1,0,4,13,1,0,Low-area,True
723,89196952053ffff,65,2,1,1,2,2,0,4,41,14,0,High-area,True
788,89196953343ffff,1,0,0,0,0,0,1,0,0,0,0,Low-area,False
789,891968269a3ffff,10,1,0,1,1,0,0,0,6,2,0,Low-area,True
799,89196953527ffff,81,5,1,5,1,0,2,15,46,11,0,High-area,True
880,89196826e5bffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
881,891969c9993ffff,89,1,1,3,2,0,3,3,70,6,1,High-area,True
970,891969c9e07ffff,49,1,0,0,0,0,0,12,35,2,0,High-area,True
1019,89196826987ffff,87,8,1,5,5,0,1,15,56,4,0,High-area,True
1106,891969c9b47ffff,93,2,8,8,12,0,3,14,43,5,0,High-area,True
1199,89196952023ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
1200,8919695248fffff,63,2,1,0,0,0,0,10,50,2,0,High-area,True
