,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
0,891969c9933ffff,89,3,7,1,0,0,0,5,64,12,0,High-area,True
89,8919695268bffff,92,2,3,3,2,1,1,3,70,9,0,High-area,True
186,891969c9d63ffff,31,1,0,0,2,0,1,4,15,9,0,High-area,True
217,89196826b9bffff,7,2,0,0,0,0,0,4,3,0,0,Low-area,True
244,891969536d3ffff,41,1,1,2,2,2,1,4,28,1,0,High-area,True
302,89196953577ffff,85,2,0,1,2,0,2,5,68,7,0,High-area,True
387,891969cd0cbffff,38,4,0,2,0,1,0,5,27,3,0,High-area,True
433,8919682695bffff,32,1,0,3,0,0,0,7,19,3,0,High-area,True
465,8919695308bffff,86,1,4,3,1,0,2,13,58,5,0,High-area,True
551,89196952263ffff,33,3,1,1,1,1,3,8,9,9,0,High-area,True
595,8919695221bffff,82,1,1,0,2,0,0,18,52,9,0,High-area,True
704,89196826bb3ffff,19,1,0,0,0,1,0,4,13,1,0,Low-area,True
723,89196952053ffff,65,2,1,1,2,2,0,4,41,14,0,High-area,True
789,891968269a3ffff,10,1,0,1,1,0,0,0,6,2,0,Low-area,True
799,89196953527ffff,81,5,1,5,1,0,2,15,46,11,0,High-area,True
881,891969c9993ffff,89,1,1,3,2,0,3,3,70,6,1,High-area,True
970,891969c9e07ffff,49,1,0,0,0,0,0,12,35,2,0,High-area,True
1019,89196826987ffff,87,8,1,5,5,0,1,15,56,4,0,High-area,True
1106,891969c9b47ffff,93,2,8,8,12,0,3,14,43,5,0,High-area,True
1200,8919695248fffff,63,2,1,0,0,0,0,10,50,2,0,High-area,True
1263,891969cd623ffff,92,5,4,1,1,3,0,25,48,10,0,High-area,True
1355,89196824db7ffff,14,1,0,0,0,0,0,1,12,1,0,Low-area,True
1369,891969530c3ffff,52,1,1,3,1,2,0,9,32,4,0,High-area,True
1421,89196952637ffff,72,3,1,3,3,2,1,7,46,9,0,High-area,True
1493,891969532abffff,23,3,0,0,0,0,0,3,17,3,0,Low-area,True
1522,8919695205bffff,68,4,7,2,1,0,0,5,44,9,0,High-area,True
1599,89196826b37ffff,53,1,5,2,0,7,0,9,25,5,0,High-area,True
1652,891969c9ebbffff,19,1,0,1,0,2,1,3,9,3,0,Low-area,True
1710,891969cd053ffff,60,4,0,1,0,2,1,8,46,2,0,High-area,True
1770,891969521dbffff,68,3,0,0,1,1,1,14,45,6,0,High-area,True
1840,89196953187ffff,54,3,6,2,1,1,0,7,31,6,0,High-area,True
1918,891969c9e3bffff,91,5,2,3,0,0,0,14,63,9,0,High-area,True
2009,891969c98d3ffff,18,3,0,0,0,0,2,1,12,3,0,Low-area,True
2027,891969c9c07ffff,21,3,0,0,1,2,0,1,17,0,0,Low-area,True
