,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
0,891e8051903ffff,7,0,1,0,0,0,0,1,3,2,0,Low-area,False
7,891e80562a3ffff,8,0,0,1,0,0,0,4,2,1,0,Low-area,False
15,891e8055517ffff,61,0,3,0,0,1,0,22,26,9,0,High-area,False
76,891e8040207ffff,3,0,0,0,0,0,0,3,0,0,0,Low-area,False
79,891e8624c1bffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,False
80,891e805459bffff,11,0,3,1,0,2,2,1,1,1,0,Low-area,False
91,891e805a32fffff,67,0,7,1,0,0,0,33,21,5,0,High-area,False
158,891e8058113ffff,3,0,0,0,0,0,0,2,1,0,0,Low-area,False
161,891e8055017ffff,9,0,0,1,0,1,0,2,4,1,0,Low-area,False
170,891e80553cfffff,4,0,0,0,0,0,0,1,3,0,0,Low-area,False
174,891e805430bffff,9,0,0,0,0,0,0,1,7,1,0,Low-area,False
183,891e805ae57ffff,27,0,2,1,1,2,2,12,4,3,0,Low-area,False
210,891e80572c3ffff,97,1,13,4,1,1,2,38,29,9,0,High-area,True
307,891e8624a27ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
308,891e86249cbffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
309,891e8050833ffff,90,0,2,4,1,4,1,31,32,15,0,High-area,False
399,891e80c8063ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
400,891e804223bffff,4,0,0,0,0,1,0,1,2,0,0,Low-area,False
404,891e80522b3ffff,94,0,10,1,4,1,1,49,22,6,0,High-area,False
498,891e805528fffff,20,0,1,1,0,1,1,4,11,1,0,Low-area,False
518,891e805456fffff,3,0,0,0,0,0,0,0,2,1,0,Low-area,False
521,891e80c84b7ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
522,891e8050973ffff,98,0,11,2,1,0,2,43,32,7,0,High-area,False
620,891e80545c3ffff,3,0,0,0,0,0,0,2,1,0,0,Low-area,False
623,891e8051b93ffff,34,0,2,0,0,2,0,14,9,7,0,High-area,False
657,891e805032fffff,29,0,8,5,2,0,4,1,5,4,0,Low-area,False
686,891e804315bffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
687,891e80cd217ffff,2,0,0,0,2,0,0,0,0,0,0,Low-area,False
689,891e8050babffff,4,0,1,0,0,0,0,1,1,1,0,Low-area,False
693,891e8055ca7ffff,22,0,2,1,1,1,0,5,12,0,0,Low-area,False
715,891e80cf393ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
716,891e80563d7ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
717,891e80c8ab7ffff,4,0,0,0,0,1,1,0,2,0,0,Low-area,False
721,891e805058fffff,99,0,9,0,0,0,11,49,25,5,0,High-area,False
820,891e805865bffff,2,0,0,0,0,2,0,0,0,0,0,Low-area,False
822,891e8054a4fffff,4,0,0,0,0,1,0,2,1,0,0,Low-area,False
826,891e805b12fffff,3,0,0,0,0,1,0,1,0,1,0,Low-area,False
829,891e8052c77ffff,3,0,0,0,0,0,1,0,0,2,0,Low-area,False
832,891e80cb1a3ffff,3,0,0,0,0,1,0,0,2,0,0,Low-area,False
835,891e8051e23ffff,34,0,2,2,1,3,0,13,12,1,0,High-area,False
