,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
210,891e80572c3ffff,97,1,13,4,1,1,2,38,29,9,0,High-area,True
1778,891e805b30fffff,66,1,1,2,0,0,0,8,49,6,0,High-area,True
2059,891e80518dbffff,39,1,3,4,1,0,0,9,17,5,0,High-area,True
2289,891e8051837ffff,74,1,3,1,0,1,4,15,41,9,0,High-area,True
2994,891e8050363ffff,9,2,1,1,1,1,0,0,2,3,0,Low-area,True
4257,891e805a9b7ffff,41,1,2,1,0,1,0,13,15,9,0,High-area,True
4845,891e805b2abffff,66,1,9,1,0,3,3,25,18,7,0,High-area,True
5449,891e805769bffff,98,1,14,4,2,2,1,31,36,8,0,High-area,True
5781,891e8052aa7ffff,93,1,10,2,6,2,5,17,39,12,0,High-area,True
5880,891e8052ed7ffff,82,1,14,1,1,1,2,32,20,11,0,High-area,True
6666,891e80574a7ffff,19,1,2,0,0,0,0,4,12,1,0,Low-area,True
6931,891e8051e83ffff,6,1,0,0,0,1,0,2,3,0,0,Low-area,True
9584,891e80503d7ffff,6,1,0,0,0,2,1,0,3,0,0,Low-area,True
9818,891e8051d4fffff,32,2,6,6,5,2,0,0,11,2,0,High-area,True
10445,891e80501dbffff,85,1,6,4,2,2,4,32,27,8,0,High-area,True
11184,891e80502b7ffff,96,1,4,2,2,1,2,30,43,12,0,High-area,True
12062,891e80518bbffff,15,1,2,1,0,5,0,4,3,0,0,Low-area,True
12088,891e805b353ffff,97,1,41,3,0,0,11,23,16,3,0,High-area,True
12603,891e8052ab3ffff,98,1,8,4,2,2,2,33,42,5,0,High-area,True
13454,891e8054087ffff,8,1,0,1,0,0,0,4,2,1,0,Low-area,True
14009,891e805189bffff,31,1,1,2,1,1,1,6,13,6,0,High-area,True
14585,891e8050957ffff,90,1,8,2,3,3,3,29,35,7,0,High-area,True
14820,891e80562c3ffff,6,1,0,2,0,2,0,1,1,0,0,Low-area,True
15035,891e8051a6bffff,51,1,1,1,0,2,1,23,20,3,0,High-area,True
15270,891e805b29bffff,11,1,3,0,1,0,0,6,1,0,0,Low-area,True
15569,891e8051a03ffff,3,1,0,1,0,0,0,0,1,1,0,Low-area,True
15574,891e8052e07ffff,97,1,4,5,1,1,1,26,47,12,0,High-area,True
16774,891e8050173ffff,96,1,17,9,0,3,3,27,23,14,0,High-area,True
17108,891e8052a03ffff,98,2,6,2,4,0,8,9,61,8,0,High-area,True
18001,891e8052c43ffff,6,1,1,1,0,0,1,0,3,0,0,Low-area,True
18184,891e8052803ffff,94,2,2,10,0,0,3,16,54,9,0,High-area,True
19172,891e8057533ffff,4,1,1,0,0,0,0,0,3,0,0,Low-area,True
19349,891e8051807ffff,22,1,0,0,0,1,1,3,15,2,0,Low-area,True
20254,891e80552abffff,40,2,9,0,0,1,0,12,12,6,0,High-area,True
20647,891e8051b6bffff,17,4,1,0,0,2,1,4,7,2,0,Low-area,True
20815,891e8058523ffff,4,1,0,0,0,1,0,2,1,0,0,Low-area,True
22484,891e8052b13ffff,95,1,14,5,1,1,4,33,26,11,0,High-area,True
22688,891e80caa8bffff,1,1,0,0,0,0,0,0,1,0,0,Low-area,True
22746,891e8052137ffff,86,1,23,1,2,1,1,23,27,8,0,High-area,True
23622,891e8050ebbffff,6,1,0,0,0,0,0,0,5,1,0,Low-area,True
24618,891e805b31bffff,92,2,6,6,1,6,1,26,42,4,0,High-area,True
24958,891e8050893ffff,95,2,16,1,1,4,5,29,30,9,0,High-area,True
25252,891e8051c27ffff,43,2,2,6,1,2,1,2,25,4,0,High-area,True
25310,891e8051803ffff,11,1,0,0,1,2,0,1,5,2,0,Low-area,True
25517,891e805108fffff,23,1,2,1,0,1,0,1,14,4,0,Low-area,True
26319,891e8052d57ffff,9,1,0,0,0,0,0,2,7,0,0,Low-area,True
27151,891e80518a3ffff,98,2,16,2,1,3,1,26,38,11,0,High-area,True
29310,891e8050d43ffff,65,1,7,1,1,1,2,27,21,5,0,High-area,True
29575,891e8051897ffff,89,1,10,2,0,3,2,9,49,14,0,High-area,True
31388,891e8050167ffff,64,4,10,7,4,3,7,6,19,8,0,High-area,True
31654,891e80cd23bffff,6,1,0,0,0,0,0,2,3,1,0,Low-area,True
33048,891e8055057ffff,53,3,5,0,0,0,2,19,21,6,0,High-area,True
33492,891e8052abbffff,98,2,12,1,5,2,20,11,40,7,0,High-area,True
34036,891e80550cbffff,82,2,11,1,0,1,0,12,53,4,0,High-area,True
34120,891e8051813ffff,32,1,3,0,1,1,3,3,19,2,0,High-area,True
34159,891e8050147ffff,98,1,36,11,5,2,2,19,18,5,0,High-area,True
34261,891e8052ebbffff,96,1,7,1,2,3,4,12,52,15,0,High-area,True
34600,891e8052e83ffff,35,1,10,1,3,3,2,3,7,6,0,High-area,True
34739,891e805216fffff,94,1,11,1,1,2,4,37,29,9,0,High-area,True
35158,891e80cd18fffff,16,1,2,1,0,1,1,6,5,0,0,Low-area,True
35255,891e80435d3ffff,20,2,2,0,0,1,1,7,8,1,0,Low-area,True
35693,891e8050edbffff,97,1,22,6,1,2,0,21,37,8,0,High-area,True
36493,891e80cda07ffff,95,2,10,8,0,4,4,35,24,10,0,High-area,True
37161,891e8051393ffff,4,2,0,0,0,0,0,0,2,2,0,Low-area,True
37165,891e80508abffff,99,2,8,2,0,0,5,37,35,12,0,High-area,True
37875,891e8050cb3ffff,82,2,5,11,2,3,14,9,30,8,0,High-area,True
38589,891e8050077ffff,92,3,4,1,3,0,2,27,38,17,0,High-area,True
38689,891e8052853ffff,95,1,3,0,1,3,0,10,66,12,0,High-area,True
39188,891e80529c3ffff,98,1,9,4,4,0,3,33,32,13,0,High-area,True
39642,891e805059bffff,98,1,12,5,4,0,13,36,26,2,0,High-area,True
39853,891e8043213ffff,7,2,0,0,0,1,0,0,5,1,0,Low-area,True
40104,891e805185bffff,22,2,6,0,0,2,0,2,8,4,0,Low-area,True
40566,891e8058b87ffff,26,1,2,1,0,0,0,22,1,0,0,Low-area,True
41165,891e80552bbffff,71,2,8,3,0,0,1,51,8,0,0,High-area,True
41600,891e8050e73ffff,60,2,11,2,2,1,0,7,26,11,0,High-area,True
42529,891e80518c3ffff,34,1,2,0,0,1,0,16,11,4,0,High-area,True
43225,891e8052dcbffff,23,1,2,0,1,2,0,1,17,0,0,Low-area,True
43613,891e805067bffff,6,1,1,0,0,1,0,2,1,1,0,Low-area,True
44047,891e80519d7ffff,63,2,5,1,1,2,0,21,25,8,0,High-area,True
44191,891e805226bffff,76,2,7,6,1,2,4,18,29,9,0,High-area,True
44700,891e8051913ffff,23,2,0,1,0,2,0,3,15,2,0,Low-area,True
45684,891e8051987ffff,10,1,2,0,0,2,0,1,5,0,0,Low-area,True
45710,891e80518cfffff,41,2,6,0,0,1,0,22,11,1,0,High-area,True
45936,891e8052873ffff,92,1,4,4,1,1,4,10,50,18,0,High-area,True
46564,891e8051ca3ffff,98,1,5,4,3,0,0,32,43,11,0,High-area,True
