,0
0,891e8052013ffff
1,891e805a8b7ffff
2,891e80cca63ffff
3,891e8057097ffff
4,891e8626e37ffff
5,891e80406bbffff
6,891e80562dbffff
7,891e80c9903ffff
8,891e80411b3ffff
9,891e80550abffff
10,891e80502cbffff
11,891e80430d7ffff
12,891e80c9867ffff
13,891e805512fffff
14,891e805a127ffff
15,891e8050963ffff
16,891e80412c3ffff
17,891e80532afffff
18,891e8055617ffff
19,891e80cc14bffff
20,891e8051163ffff
21,891e8053267ffff
22,891e8055167ffff
23,891e805706bffff
24,891e8051643ffff
25,891e80cf167ffff
26,891e805b29bffff
27,891e80c8aabffff
28,891e8052123ffff
29,891e80cc20bffff
30,891e80c8237ffff
31,891e80576c3ffff
32,891e8053487ffff
33,891e8050bb3ffff
34,891e8058e2fffff
35,891e80cb32fffff
36,891e805a237ffff
37,891e80400d7ffff
38,891e80552bbffff
39,891e80cdd6fffff
40,891e80cacc3ffff
41,891e805a963ffff
42,891e80525abffff
43,891e80ca307ffff
44,891e8054397ffff
45,891e805aabbffff
46,891e805514fffff
47,891e8043633ffff
48,891e80c816bffff
49,891e80cc6b3ffff
50,891e805896fffff
51,891e80cae13ffff
52,891e8058d97ffff
53,891e80425b3ffff
54,891e8050c1bffff
55,891e8040083ffff
56,891e80525bbffff
57,891e80464cfffff
58,891e805145bffff
59,891e8059d17ffff
60,891e80574abffff
61,891e8052817ffff
62,891e80cf1b7ffff
63,891e80cb22fffff
64,891e805b30bffff
65,891e805b1c7ffff
66,891e80c98b7ffff
67,891e8042693ffff
68,891e804306bffff
69,891e805a38fffff
70,891e80c81cfffff
71,891e80c94abffff
72,891e80ca06bffff
73,891e8055283ffff
74,891e8051943ffff
75,891e8626a6bffff
76,891e80c828fffff
77,891e805700fffff
78,891e805893bffff
79,891e8041dcfffff
80,891e8050d4bffff
81,891e8043097ffff
82,891e80cce0fffff
83,891e8052b97ffff
84,891e8051543ffff
85,891e8054127ffff
86,891e8626853ffff
87,891e8052067ffff
88,891e805a63bffff
89,891e8055cafffff
90,891e8624ddbffff
91,891e8041583ffff
92,891e80c842fffff
93,891e8624163ffff
94,891e804045bffff
95,891e805aadbffff
96,891e8043397ffff
97,891e8626acbffff
98,891e805ad0bffff
99,891e80c9d6bffff
100,891e8043417ffff
101,891e80cc487ffff
102,891e80420abffff
103,891e8051b43ffff
104,891e8050997ffff
105,891e80ca663ffff
106,891e80c804fffff
107,891e80ca523ffff
108,891e8052e37ffff
109,891e8055d3bffff
110,891e805195bffff
111,891e80c8c3bffff
112,891e804100fffff
113,891e8058987ffff
114,891e805aa6fffff
115,891e804108fffff
116,891e805ac17ffff
117,891e8624887ffff
118,891e80cd8a3ffff
119,891e80506c3ffff
120,891e804360bffff
121,891e805acafffff
122,891e80423dbffff
123,891e8040337ffff
124,891e80500dbffff
125,891e8056253ffff
126,891e8042427ffff
127,891e805abcfffff
128,891e8626ab7ffff
129,891e8056843ffff
130,891e80cc2d3ffff
131,891e80cf3d7ffff
132,891e80424a3ffff
133,891e86248a3ffff
134,891e800b663ffff
135,891e804156bffff
136,891e80531b3ffff
137,891e8058823ffff
138,891e8051e7bffff
139,891e800b07bffff
140,891e805996bffff
141,891e8051e6bffff
142,891e80421afffff
143,891e80c8b93ffff
144,891e8050193ffff
145,891e8052397ffff
146,891e80501a3ffff
147,891e80556cfffff
148,891e8052bbbffff
149,891e80c84d3ffff
150,891e80cb35bffff
151,891e80c8c87ffff
152,891e805838bffff
153,891e80cd833ffff
154,891e80cdc03ffff
155,891e805304fffff
156,891e805837bffff
157,891e80cd1dbffff
158,891e805284bffff
159,891e80cd63bffff
160,891e804322bffff
161,891e80cc5dbffff
162,891e862486bffff
163,891e805162fffff
164,891e8050047ffff
165,891e8055da3ffff
166,891e80cabcfffff
167,891e8051383ffff
168,891e80ce16fffff
169,891e8054dc7ffff
170,891e80cdccbffff
171,891e80cf22fffff
172,891e805a567ffff
173,891e805769bffff
174,891e805152fffff
175,891e80cdb7bffff
176,891e80553abffff
177,891e80520dbffff
178,891e80cf293ffff
179,891e8042623ffff
180,891e80cac7bffff
181,891e8052c63ffff
182,891e80cb373ffff
183,891e8056e0fffff
184,891e804154bffff
185,891e80c9497ffff
186,891e805180bffff
187,891e805b1afffff
188,891e8058413ffff
189,891e80c8b37ffff
190,891e805098bffff
191,891e805802bffff
192,891e8058d1bffff
193,891e80cc243ffff
194,891e8054143ffff
195,891e8052b73ffff
196,891e80cd5c7ffff
197,891e805886fffff
198,891e80c9aa3ffff
199,891e804138fffff
200,891e80cc547ffff
201,891e805400bffff
202,891e80c9ec3ffff
203,891e8042327ffff
204,891e804014bffff
205,891e8051ed3ffff
206,891e80562a7ffff
207,891e8055417ffff
208,891e805442bffff
209,891e80402cbffff
210,891e8052893ffff
211,891e86269a3ffff
212,891e80cf003ffff
213,891e8040203ffff
214,891e8056bafffff
215,891e8051147ffff
216,891e804327bffff
217,891e805b58bffff
218,891e805b303ffff
219,891e8050437ffff
220,891e80521abffff
221,891e805a627ffff
222,891e80586a3ffff
223,891e80512b3ffff
224,891e805354bffff
225,891e8624903ffff
226,891e804a6cfffff
227,891e804361bffff
228,891e805ad4bffff
229,891e80cd91bffff
230,891e8624dbbffff
231,891e805a86bffff
232,891e8624ed7ffff
233,891e8043347ffff
234,891e8051a4bffff
235,891e8626d0fffff
236,891e8051663ffff
237,891e805567bffff
238,891e805050fffff
239,891e8050dc7ffff
240,891e8043363ffff
241,891e80599b7ffff
242,891e8052a37ffff
243,891e80536bbffff
244,891e80ca963ffff
245,891e8043523ffff
246,891e8057177ffff
247,891e8057577ffff
248,891e80583d3ffff
249,891e80cd57bffff
250,891e8058347ffff
251,891e8054a43ffff
252,891e80526d7ffff
253,891e8056687ffff
254,891e8052907ffff
255,891e80416a7ffff
256,891e80cdc8fffff
257,891e8050a7bffff
258,891e80cb1cbffff
259,891e8050ba7ffff
260,891e80cf0afffff
261,891e805ae73ffff
262,891e80432a7ffff
263,891e8042337ffff
264,891e80c1213ffff
265,891e8040367ffff
266,891e80cc497ffff
267,891e805ac4bffff
268,891e86268cbffff
269,891e8053297ffff
270,891e80ca363ffff
271,891e80cae8fffff
272,891e80ce3c7ffff
273,891e805146bffff
274,891e8056e43ffff
275,891e80c9863ffff
276,891e8624997ffff
277,891e804052bffff
278,891e805aba7ffff
279,891e80c8d37ffff
280,891e8624e0fffff
281,891e804145bffff
282,891e80cf063ffff
283,891e8059917ffff
284,891e8052357ffff
285,891e80ce28fffff
286,891e805a8dbffff
287,891e8624dcfffff
288,891e8043413ffff
289,891e80ce273ffff
290,891e8626967ffff
291,891e80c8c2bffff
292,891e80c8b53ffff
293,891e8054073ffff
294,891e80c9b57ffff
295,891e80cdc23ffff
296,891e80cd4b7ffff
297,891e805338fffff
298,891e805832bffff
299,891e805b237ffff
300,891e8055c3bffff
301,891e80cc187ffff
302,891e8053293ffff
303,891e80420c3ffff
304,891e80c802bffff
305,891e805723bffff
306,891e8058a97ffff
307,891e8059d1bffff
308,891e80560cbffff
309,891e80cc4c3ffff
310,891e80caa87ffff
311,891e8050ebbffff
312,891e80cf10fffff
313,891e80cf267ffff
314,891e8052dbbffff
315,891e80cf54bffff
316,891e805058bffff
317,891e80cf0a3ffff
318,891e8051ec7ffff
319,891e80c13d3ffff
320,891e8042d73ffff
321,891e8050293ffff
322,891e8624a8fffff
323,891e805030bffff
324,891e80423c7ffff
325,891e80c83a7ffff
326,891e8050663ffff
327,891e805318fffff
328,891e8058633ffff
329,891e80cf2cbffff
330,891e805a37bffff
331,891e80576b7ffff
332,891e80ce29bffff
333,891e80529a3ffff
334,891e8051db3ffff
335,891e8059d2bffff
336,891e80c9b6bffff
337,891e80583abffff
338,891e8052d63ffff
339,891e80c89bbffff
340,891e8055933ffff
341,891e8040413ffff
342,891e80412afffff
343,891e8051187ffff
344,891e8054edbffff
345,891e8057157ffff
346,891e805140bffff
347,891e80cd84fffff
348,891e805882bffff
349,891e80c809bffff
350,891e8052987ffff
351,891e8058c33ffff
352,891e8052bc3ffff
353,891e8052c8fffff
354,891e80cda8fffff
355,891e80ce313ffff
356,891e80531d7ffff
357,891e8051c0bffff
358,891e8058bbbffff
359,891e804254fffff
360,891e80434bbffff
361,891e80cd18fffff
362,891e80543a7ffff
363,891e8050e57ffff
364,891e8041d8fffff
365,891e80c890bffff
366,891e8058547ffff
367,891e8055233ffff
368,891e80cc2d7ffff
369,891e805ad93ffff
370,891e8058807ffff
371,891e8052ab3ffff
372,891e8055d4bffff
