,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
50,1441,891f8d4411bffff,75,0,2,0,0,2,0,20,47,4,0,High-area,26.67,2.67,62.67,2.67,Business_percent
435,14816,891f8d716d3ffff,75,0,1,0,0,2,0,10,44,17,1,High-area,13.33,2.67,58.67,1.33,Business_percent
508,17542,891f8d45913ffff,75,0,4,8,4,0,0,2,54,3,0,High-area,2.67,0.0,72.0,5.33,Business_percent
274,9298,891f8d45c03ffff,74,0,9,0,1,0,2,14,43,5,0,High-area,18.92,0.0,58.11,12.16,Business_percent
331,11200,891f8d44d77ffff,74,0,5,0,0,1,1,5,58,3,1,High-area,6.76,1.35,78.38,6.76,Business_percent
567,19619,891f8d716dbffff,74,0,2,1,1,2,0,6,47,15,0,High-area,8.11,2.7,63.51,2.7,Business_percent
2301,82731,891f8d458bbffff,74,0,5,1,0,0,1,7,57,3,0,High-area,9.46,0.0,77.03,6.76,Business_percent
366,12292,891f8d44d0bffff,73,0,0,0,0,0,1,16,47,9,0,High-area,21.92,0.0,64.38,0.0,Business_percent
680,23702,891f8d451bbffff,73,0,4,3,0,1,2,21,38,4,0,High-area,28.77,1.37,52.05,5.48,Business_percent
416,14001,891f8d4482fffff,72,0,9,2,1,1,0,11,39,8,1,High-area,15.28,1.39,54.17,12.5,Business_percent
521,18077,891f8d46e3bffff,72,0,2,3,1,2,1,21,30,12,0,High-area,29.17,2.78,41.67,2.78,Business_percent
1321,47176,891f8d7161bffff,72,0,0,0,1,1,1,4,55,10,0,High-area,5.56,1.39,76.39,0.0,Business_percent
1666,59618,891f8d44e1bffff,72,0,2,0,0,3,0,11,51,5,0,High-area,15.28,4.17,70.83,2.78,Business_percent
2292,82407,891f8d7ad47ffff,72,0,4,0,0,2,0,16,38,12,0,High-area,22.22,2.78,52.78,5.56,Business_percent
192,6646,891f8d7aeb3ffff,71,0,8,3,0,0,1,13,30,15,1,High-area,18.31,0.0,42.25,11.27,Business_percent
1128,39696,891f8d4416fffff,71,0,3,1,0,2,0,15,36,14,0,High-area,21.13,2.82,50.7,4.23,Business_percent
1141,40261,891f8d4466bffff,71,0,9,1,1,4,9,14,30,3,0,High-area,19.72,5.63,42.25,12.68,Business_percent
1547,55290,891f8d44e5bffff,71,0,4,0,3,0,0,7,38,19,0,High-area,9.86,0.0,53.52,5.63,Business_percent
1624,58003,891f8d44133ffff,71,0,3,0,1,2,2,15,36,12,0,High-area,21.13,2.82,50.7,4.23,Business_percent
1776,63330,891f8d7b50fffff,71,0,1,0,0,0,1,3,59,7,0,High-area,4.23,0.0,83.1,1.41,Business_percent
2158,77666,891f8d4445bffff,71,0,2,0,0,2,1,17,40,9,0,High-area,23.94,2.82,56.34,2.82,Business_percent
2171,78087,891f8d45d4bffff,71,0,1,3,0,2,0,10,48,7,0,High-area,14.08,2.82,67.61,1.41,Business_percent
2370,85196,891f8d45b6fffff,71,0,2,0,0,4,1,8,53,3,0,High-area,11.27,5.63,74.65,2.82,Business_percent
60,1730,891f8d7b4d7ffff,70,0,1,1,1,0,1,16,39,11,0,High-area,22.86,0.0,55.71,1.43,Business_percent
109,3758,891f8d7b48fffff,70,0,3,0,0,0,0,14,49,4,0,High-area,20.0,0.0,70.0,4.29,Business_percent
144,4792,891f8d71623ffff,70,0,3,1,1,1,1,27,33,3,0,High-area,38.57,1.43,47.14,4.29,Business_percent
165,5552,891f8d45d2fffff,70,0,2,1,0,1,3,15,44,4,0,High-area,21.43,1.43,62.86,2.86,Business_percent
609,20919,891f8d45b13ffff,70,0,6,2,0,3,2,10,37,10,0,High-area,14.29,4.29,52.86,8.57,Business_percent
1234,43847,891f8d4548fffff,70,0,3,0,0,1,0,12,44,10,0,High-area,17.14,1.43,62.86,4.29,Business_percent
