,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
1,23.0,891f8d44b07ffff,98.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,71.0,15.0,0.0,High-area,10.2,0.0,72.45,2.04,Business_percent
22,641.0,891f8d45b07ffff,88.0,2.0,8.0,2.0,1.0,4.0,1.0,11.0,48.0,12.0,1.0,High-area,12.5,4.55,54.55,9.09,Business_percent
36,1095.0,891f8d7366bffff,60.0,3.0,3.0,4.0,0.0,2.0,2.0,5.0,36.0,7.0,1.0,High-area,8.33,3.33,60.0,5.0,Business_percent
65,1930.0,891f8d7a633ffff,97.0,1.0,9.0,1.0,2.0,1.0,1.0,15.0,49.0,19.0,0.0,High-area,15.46,1.03,50.52,9.28,Business_percent
90,2863.0,891f8d44bd3ffff,99.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,77.0,12.0,0.0,High-area,5.05,0.0,77.78,4.04,Business_percent
91,2962.0,891f8d7a893ffff,44.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,31.0,6.0,0.0,High-area,11.36,4.55,70.45,0.0,Business_percent
92,3006.0,891f8d7126bffff,30.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,20.0,3.0,0.0,High-area,13.33,10.0,66.67,0.0,Business_percent
96,3256.0,891f8d45abbffff,81.0,1.0,5.0,2.0,0.0,0.0,1.0,23.0,46.0,4.0,0.0,High-area,28.4,0.0,56.79,6.17,Business_percent
100,3392.0,891f8d45193ffff,97.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,55.0,32.0,0.0,High-area,6.19,1.03,56.7,3.09,Business_percent
102,3492.0,891f8d7a47bffff,97.0,1.0,8.0,2.0,1.0,1.0,5.0,22.0,53.0,4.0,1.0,High-area,22.68,1.03,54.64,8.25,Business_percent
114,3852.0,891f8d4437bffff,98.0,1.0,3.0,0.0,0.0,1.0,0.0,12.0,66.0,16.0,0.0,High-area,12.24,1.02,67.35,3.06,Business_percent
120,4036.0,891f8d45b9bffff,95.0,1.0,2.0,0.0,1.0,1.0,1.0,19.0,45.0,26.0,0.0,High-area,20.0,1.05,47.37,2.11,Business_percent
146,4961.0,891f8d44da7ffff,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,Low-area,0.0,0.0,90.0,0.0,Business_percent
151,5063.0,891f8d7328bffff,35.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,22.0,5.0,0.0,High-area,17.14,0.0,62.86,0.0,Business_percent
157,5305.0,891f8d45d33ffff,79.0,1.0,4.0,0.0,0.0,2.0,3.0,13.0,49.0,8.0,0.0,High-area,16.46,2.53,62.03,5.06,Business_percent
168,5757.0,891f8d450c3ffff,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Low-area,0.0,0.0,100.0,0.0,Business_percent
170,5781.0,891f8d44cd3ffff,22.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,12.0,1.0,0.0,Low-area,4.55,9.09,54.55,9.09,Business_percent
178,6143.0,891f8d45a6fffff,25.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,13.0,4.0,0.0,Low-area,24.0,0.0,52.0,8.0,Business_percent
181,6215.0,891f8d45dc3ffff,97.0,1.0,5.0,0.0,0.0,2.0,3.0,13.0,68.0,6.0,0.0,High-area,13.4,2.06,70.1,5.15,Business_percent
195,6817.0,891f8d44803ffff,99.0,1.0,6.0,1.0,0.0,7.0,1.0,15.0,51.0,17.0,1.0,High-area,15.15,7.07,51.52,6.06,Business_percent
203,7138.0,891f8d4554fffff,67.0,1.0,3.0,0.0,0.0,3.0,0.0,18.0,26.0,17.0,0.0,High-area,26.87,4.48,38.81,4.48,Business_percent
207,7344.0,891f8d46b23ffff,71.0,1.0,2.0,1.0,1.0,6.0,1.0,18.0,29.0,13.0,0.0,High-area,25.35,8.45,40.85,2.82,Business_percent
208,7415.0,891f8d7b5dbffff,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,Low-area,0.0,0.0,82.61,0.0,Business_percent
