betreiber,postleitzahl,breitengrad,längengrad,inbetriebnahmedatum,h3_code
SWM Versorgungs GmbH,80241,48.137018,11.456796,31/1/2020,881f8d4515fffff
SWM Versorgungs GmbH,80245,48.159746,11.445709,7/12/2018,881f8d4551fffff
SWM Versorgungs GmbH,80245,48.159701,11.445643,7/12/2018,881f8d4551fffff
SWM Versorgungs GmbH,80249,48.147492,11.419531,11/12/2018,881f8d4547fffff
SWM Versorgungs GmbH,80331,48.135646,11.580395,21/12/2017,881f8d7a49fffff
SWM Versorgungs GmbH,80331,48.135012,11.579745,19/12/2017,881f8d7a49fffff
SWM Versorgungs GmbH,80331,48.135005,11.579869,19/12/2017,881f8d7a49fffff
SWM Versorgungs GmbH,80331,48.137959,11.566801,19/12/2017,881f8d44a7fffff
SWM Versorgungs GmbH,80331,48.137941,11.566962,19/12/2017,881f8d44a7fffff
SWM Versorgungs GmbH,80331,48.133784,11.570894,19/12/2017,881f8d7a4dfffff
SWM Versorgungs GmbH,80331,48.133734,11.571055,19/12/2017,881f8d7a4dfffff
SWM Versorgungs GmbH,80331,48.142263,11.509488,28/11/2019,881f8d45c3fffff
SWM Versorgungs GmbH,80333,48.150791,11.565181,23/5/2017,881f8d44a1fffff
SWM Versorgungs GmbH,80333,48.142172,11.573254,19/12/2017,881f8d44a3fffff
SWM Versorgungs GmbH,80333,48.142133,11.573319,19/12/2017,881f8d44a3fffff
SWM Versorgungs GmbH,80333,48.140261,11.571672,19/12/2017,881f8d44a7fffff
SWM Versorgungs GmbH,80333,48.140139,11.571591,19/12/2017,881f8d44a7fffff
SWM Versorgungs GmbH,80333,48.148515,11.565492,11/6/2018,881f8d44a1fffff
SWM Versorgungs GmbH,80333,48.144191,11.569591,29/8/2018,881f8d44a3fffff
SWM Versorgungs GmbH,80333,48.144073,11.569644,29/8/2018,881f8d44a3fffff
SWM Versorgungs GmbH,80333,48.14835,11.574242,9/9/2019,881f8d44a3fffff
SWM Versorgungs GmbH,80333,48.148418,11.574032,9/9/2019,881f8d44a3fffff
SWM Versorgungs GmbH,80333,48.152162,11.56067,8/5/2019,881f8d44a9fffff
SWM Versorgungs GmbH,80333,48.152194,11.560584,8/5/2019,881f8d44a9fffff
SWM Versorgungs GmbH,80333,48.142138,11.566144,14/6/2019,881f8d44a7fffff
SWM Versorgungs GmbH,80333,48.142151,11.56598,14/6/2019,881f8d44a7fffff
SWM Versorgungs GmbH,80333,48.145036,11.559764,23/8/2019,881f8d44a1fffff
SWM Versorgungs GmbH,80335,48.14461,11.55783,12/4/2018,881f8d44a5fffff
SWM Versorgungs GmbH,80335,48.155111,11.555638,20/4/2017,881f8d44a9fffff
SWM Versorgungs GmbH,80335,48.155204,11.555799,20/4/2017,881f8d44a9fffff
SWM Versorgungs GmbH,80335,48.143776,11.554645,29/8/2018,881f8d44a5fffff
SWM Versorgungs GmbH,80335,48.143654,11.554592,29/8/2018,881f8d44a5fffff
SWM Versorgungs GmbH,80335,48.151522,11.549247,20/9/2018,881f8d44adfffff
SWM Versorgungs GmbH,80335,48.151538,11.549235,20/9/2018,881f8d44adfffff
SWM Versorgungs GmbH,80335,48.150426,11.557461,24/9/2018,881f8d44adfffff
SWM Versorgungs GmbH,80335,48.150546,11.557539,24/9/2018,881f8d44adfffff
SWM Versorgungs GmbH,80335,48.142648,11.547762,21/11/2018,881f8d45d3fffff
SWM Versorgungs GmbH,80335,48.142669,11.547975,21/11/2018,881f8d45d3fffff
Sparda-Bank München eG,80335,48.14212,11.552528,14/9/2016,881f8d44a5fffff
SWM Versorgungs GmbH,80336,48.126527,11.546448,25/7/2017,881f8d4591fffff
SWM Versorgungs GmbH,80336,48.126448,11.546245,25/7/2017,881f8d4591fffff
SWM Versorgungs GmbH,80336,48.138378,11.562418,19/12/2017,881f8d44a7fffff
SWM Versorgungs GmbH,80336,48.132602,11.558156,20/9/2018,881f8d459bfffff
SWM Versorgungs GmbH,80336,48.136313,11.56301,25/9/2018,881f8d44a7fffff
SWM Versorgungs GmbH,80336,48.136313,11.562908,25/9/2018,881f8d44a7fffff
TellusPower Europe GmbH,80336,48.135632,11.555516,16/2/2017,881f8d459bfffff
SWM Versorgungs GmbH,80337,48.132241,11.564532,30/3/2017,881f8d7a4dfffff
SWM Versorgungs GmbH,80337,48.124454,11.555571,12/9/2018,881f8d4593fffff
SWM Versorgungs GmbH,80337,48.124512,11.555611,12/9/2018,881f8d4593fffff
SWM Versorgungs GmbH,80337,48.129279,11.558353,14/12/2018,881f8d4593fffff
SWM Versorgungs GmbH,80337,48.12912,11.558315,14/12/2018,881f8d4593fffff
SWM Versorgungs GmbH,80337,48.130926,11.564887,18/11/2019,881f8d7a4dfffff
SWM Versorgungs GmbH,80337,48.130881,11.565026,18/11/2019,881f8d7a4dfffff
SWM Versorgungs GmbH,80339,48.134071,11.541792,23/5/2017,881f8d4599fffff
SWM Versorgungs GmbH,80339,48.134046,11.54176,23/5/2017,881f8d4599fffff
SWM Versorgungs GmbH,80339,48.140074,11.548004,7/11/2017,881f8d44a5fffff
SWM Versorgungs GmbH,80339,48.140225,11.548197,7/11/2017,881f8d44a5fffff
SWM Versorgungs GmbH,80339,48.127934,11.544142,24/9/2018,881f8d4591fffff
